dataset,conversation_id,n_utterances_historical,n_utterances_rebuilt,n_utterances_difference,expert_n_utterances_historical,expert_n_utterances_rebuilt,expert_n_utterances_difference,partner_n_utterances_historical,partner_n_utterances_rebuilt,partner_n_utterances_difference,speaker_centroid_cosine_distance_historical,speaker_centroid_cosine_distance_rebuilt,speaker_centroid_cosine_distance_difference,radial_distance_median_historical,radial_distance_median_rebuilt,radial_distance_median_difference,radial_distance_q90_historical,radial_distance_q90_rebuilt,radial_distance_q90_difference,participation_ratio_historical,participation_ratio_rebuilt,participation_ratio_difference
wired,wired_zero_12,57,57,0,34,34,0,7,7,0,0.3584381341934204,0.3584382534027099,1.192092894952701e-07,0.5682881977045834,0.5682880402928787,-1.5741170467098442e-07,0.6891537866754778,0.6891538023835478,1.5708070066899893e-08,20.23956212966424,20.239561344519203,-7.851450369855684e-07
wired,wired_Talia_13,60,60,0,37,37,0,8,8,0,0.4639720320701599,0.4639721512794494,1.192092894952701e-07,0.5597553647573694,0.5597553736965923,8.939222917447864e-09,0.7317565266805249,0.7317564552677424,-7.141278257627448e-08,23.029034538553255,23.02903424196028,-2.965929759568553e-07
wired,wired_astro_13,53,53,0,44,44,0,6,6,0,0.2984951138496399,0.2984951734542846,5.9604644719879474e-08,0.5291874141845523,0.5291874494383095,3.525375724677815e-08,0.74267239029829,0.7426724946684543,1.0437016428888057e-07,18.396211113766093,18.396213282242215,2.1684761222218185e-06
wired,wired_blockchain_13,32,32,0,17,17,0,7,7,0,0.3298254609107971,0.3298254609107971,0.0,0.5342706081139859,0.5342706078931461,-2.208397908987081e-10,0.6287725526350173,0.6287724745469462,-7.808807112041904e-08,17.128447259725146,17.12844717875149,-8.097365622461439e-08
wired,wired_crispr_13,24,24,0,15,15,0,4,4,0,0.431120216846466,0.4311200380325317,-1.7881393432617188e-07,0.5015363324411874,0.5015362393557165,-9.308547099795561e-08,0.6981284128541287,0.6981283616572341,-5.119689461263732e-08,13.231193890823352,13.231193794131055,-9.669229683595404e-08
wired,wired_dimension_13,96,95,-1,44,44,0,8,8,0,0.2029083967208862,0.2029083967208862,0.0,0.5612036792001523,0.560665385527421,-0.0005382936727313936,0.6670647832134131,0.6673498399359883,0.0002850567225751721,19.13188015172639,19.673749949685973,0.5418697979595848
wired,wired_fractal_13,40,40,0,29,29,0,6,6,0,0.256989061832428,0.256989061832428,0.0,0.4761924502627865,0.4761924605263408,1.0263554284239973e-08,0.6441074828345877,0.6441074235281291,-5.9306458632946146e-08,16.218751325459337,16.218751241847333,-8.361200443118832e-08
wired,wired_gravity_13,117,116,-1,86,85,-1,13,13,0,0.2590842843055725,0.2589760422706604,-0.00010824203491210938,0.5584420242747746,0.5608682180486311,0.0024261937738564443,0.7087593765370709,0.708411361603041,-0.00034801493402991657,37.98082348174295,37.506889307550985,-0.4739341741919674
wired,wired_hacking_13,37,37,0,21,21,0,9,9,0,0.2364705801010131,0.2369674444198608,0.0004968643188477118,0.435308189371244,0.4346106004636538,-0.0006975889075901964,0.6656000959222798,0.6676468075911203,0.0020467116688405174,18.037927589704346,18.03354013525706,-0.0043874544472863874
wired,wired_infinity_13,53,53,0,35,35,0,9,9,0,0.2317103743553161,0.2317103743553161,0.0,0.4773617814171537,0.4773618260397664,4.462261271598322e-08,0.6982194702822767,0.698219432372966,-3.7909310690587006e-08,16.35926408604924,16.359265315426114,1.2293768740789801e-06
wired,wired_internet_13,53,53,0,42,42,0,6,6,0,0.3171443939208984,0.3171444535255432,5.960464483090178e-08,0.5544899305244109,0.5544899350936154,4.569204570259444e-09,0.7382414413438867,0.7382413418982174,-9.944566925490506e-08,25.474321064348004,25.47431923924219,-1.8251058122586983e-06
wired,wired_laser_13,76,76,0,49,49,0,16,16,0,0.1910094022750854,0.1910094618797302,5.96046448031462e-08,0.5181648021512752,0.5181648069822316,4.830956301660194e-09,0.7303459438554032,0.7303459522832266,8.427823439127735e-09,26.17825617743647,26.17825486653354,-1.3109029310953701e-06
wired,wired_machine_13,65,65,0,27,27,0,21,21,0,0.2355725765228271,0.2355724573135376,-1.192092894952701e-07,0.6115859372776414,0.6115860198765362,8.259889472395088e-08,0.7042408130278999,0.7042408204856159,7.457716000303094e-09,26.35625322077006,26.35625462030174,1.3995316798798285e-06
wired,wired_memory_13,34,34,0,26,26,0,7,7,0,0.4548085927963257,0.4548086524009704,5.9604644719879474e-08,0.5485194056644482,0.5485194402154883,3.455104002902942e-08,0.6694245047074389,0.6694245080149759,3.307537022045892e-09,18.36963588370348,18.36963484194947,-1.0417540110552181e-06
wired,wired_moravec_13,58,58,0,37,37,0,6,6,0,0.2066357731819152,0.2066357731819152,0.0,0.5343728804951416,0.5343728223101198,-5.8185021800660763e-08,0.7408564526637437,0.7408564633912217,1.0727478017003023e-08,20.524108829374143,20.52410707535745,-1.7540166936669266e-06
wired,wired_nano_13,61,61,0,39,39,0,7,7,0,0.3680438995361328,0.3680437803268432,-1.192092896062924e-07,0.5784657382852059,0.5784657601797579,2.1894552060253147e-08,0.745864192656683,0.745864455501717,2.628450339603461e-07,24.656428563326905,24.6564300700328,1.5067058960482882e-06
wired,wired_neuro_13,13,13,0,6,6,0,3,3,0,0.6654609441757202,0.6654608249664307,-1.1920928955078125e-07,0.4118834185654819,0.4118834550570356,3.649155372320578e-08,0.6847662238249791,0.6847663361997408,1.123747617182147e-07,9.625181104942955,9.625181558822757,4.5387980129873995e-07
